Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S000001    ,Sants-Montjuïc,Sants,Badal,Sunday,2023,1,January,1,Morning,,Not caused by the pedestrian,"Camió rígid > 3,5 tones",Man,57,Pedestrian,En zona peatonal,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,427409.24,4580907.46,2.130813369,41.374565193,2023-01-01 10:00:00
2023S000003    ,Ciutat Vella,el Raval,Carme,Sunday,2023,1,January,1,Night,,Crossing outside the pedestrian crossing,Furgoneta,Man,45,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430479.42,4581533.3,2.167451891,41.380473178,2023-01-01 03:00:00
2023S000005    ,Gràcia,la Vila de Gràcia,Riera de Sant Miquel / Sèneca                     ,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Bicicleta,Man,45,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429637.2,4583426.13,2.157160502,41.397448015,2023-01-01 17:00:00
2023S000006    ,Gràcia,la Vila de Gràcia,Gran de Gràcia / Gràcia                           ,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,429497.51,4583693.13,2.155458526,41.399840547,2023-01-01 17:00:00
2023S000007    ,Sants-Montjuïc,la Marina del Prat Vermell,Ramon Albó                                        ,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,27,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431331.37,4586678.86,2.177055607,41.426890843,2023-01-01 18:00:00
2023S000008    ,Gràcia,la Vila de Gràcia,Riera de Cassoles,Sunday,2023,1,January,1,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,35,Driver,A la vorera / Andana,Unknown,On a mission,Minor injury: Medical assistance at accident site,429062.06,4584294.81,2.150179264,41.405221335,2023-01-01 14:00:00
2023S000009    ,Horta-Guinardó,Horta,Botticelli / Estatut de Catalunya                 ,Monday,2023,1,January,2,Night,,Not caused by the pedestrian,Motorcycle,Woman,40,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,429270.14,4587461.07,2.152297976,41.433756942,2023-01-02 04:00:00
2023S000010    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Marc Aureli,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,42,Driver,Desconegut,Unknown,Other activities,Minor injury: Medical assistance at accident site,428399.69,4583937.88,2.14229781,41.401947852,2023-01-02 08:00:00
2023S000011    ,Horta-Guinardó,Sant Genís dels Agudells,Sant Cugat / Samaria                              ,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Motorcycle,Woman,64,Driver,Desconegut,Unknown,Other activities,Minor injury: Medical assistance at accident site,428095.08,4586175.0,2.138388048,41.422069468,2023-01-02 09:00:00
2023S000012    ,Gràcia,la Vila de Gràcia,Verdi,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,"Camió rígid > 3,5 tones",Man,70,Pedestrian,En zona peatonal,Unknown,Unknown,Death (within 24 hours of accident),429443.48,4584355.08,2.154735037,41.40579775,2023-01-02 10:00:00
2023S000013    ,Sant Martí,Provençals del Poblenou,Corts Catalanes                                   ,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Furgoneta,Man,50,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,433247.4,4585229.09,2.200144411,41.413994777,2023-01-02 09:00:00
2023S000014    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Muntaner,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Ciclomotor,Woman,42,Driver,Desconegut,Unknown,Commuting,Minor injury: Hospitalization up to 24 hours,428116.22,4583956.81,2.138904683,41.402093039,2023-01-02 11:00:00
2023S000015    ,Sant Martí,el Poblenou,Espronceda,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Ambulància,Man,54,Driver,Desconegut,Unknown,"Bombers, policia, ambulància",Minor injury: Medical assistance at accident site,433559.11,4584317.78,2.203973965,41.405812692,2023-01-02 10:00:00
2023S000016    ,Sant Martí,el Camp de l'Arpa del Clot,Freser,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Car,Woman,22,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431666.53,4585171.58,2.181236776,41.413343862,2023-01-02 08:00:00
2023S000017    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Gràcia,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Bus,Man,61,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,428908.24,4583220.87,2.148465348,41.395535161,2023-01-02 11:00:00
2023S000018    ,Sant Andreu,la Trinitat Vella,Santa Coloma,Monday,2023,1,January,2,Morning,,Not caused by the pedestrian,Motorcycle,Man,28,Driver,Desconegut,Unknown,On a mission,Minor injury: Hospitalization up to 24 hours,432598.95,4588910.2,2.1919754,41.447095207,2023-01-02 13:00:00
2023S000019    ,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs),Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,37,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,427242.19,4577339.41,2.12924409,41.342413928,2023-01-02 15:00:00
2023S000020    ,Sant Martí,el Camp de l'Arpa del Clot,Indústria,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Bus,Woman,85,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431634.8,4585306.27,2.180841921,41.414554272,2023-01-02 17:00:00
2023S000021    ,Les Corts,Pedralbes,Dalt (Besòs),Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,40,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,425648.78,4583019.77,2.109504322,41.393429037,2023-01-02 14:00:00
2023S000022    ,Sant Martí,Sant Martí de Provençals,Guipúscoa,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Veh. mobilitat personal amb motor,Man,31,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,432944.88,4585473.31,2.19649785,41.416169198,2023-01-02 18:00:00
2023S000023    ,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Vallvidrera a les Planes,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,33,Passenger,Desconegut,Unknown,Unknown,Minor injury: Medical assistance at accident site,424364.44,4586356.76,2.093725898,41.423363761,2023-01-02 18:00:00
2023S000024    ,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Balmes / Diagonal                                 ,Wednesday,2023,1,January,4,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,26,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,429430.09,4583191.25,2.154710596,41.395314373,2023-01-04 16:00:00
2023S000025    ,Sarrià-Sant Gervasi,el Putxet i el Farró,General Mitre / Berna                             ,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Woman,41,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,428777.85,4584356.56,2.146772087,41.40575235,2023-01-02 18:00:00
2023S000026    ,Sant Andreu,la Trinitat Vella,Meridiana,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Furgoneta,Man,35,Driver,Desconegut,Unknown,Other activities,Minor injury: Hospitalization up to 24 hours,432323.57,4589136.63,2.188653583,41.449111399,2023-01-02 19:00:00
2023S000027    ,Eixample,la Dreta de l'Eixample,Mallorca,Monday,2023,1,January,2,Night,,Not caused by the pedestrian,Car,Woman,61,Passenger,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429965.34,4582901.04,2.161146234,41.392747366,2023-01-02 22:00:00
2023S000028    ,Eixample,el Fort Pienc,Nàpols,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,49,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431743.53,4582916.38,2.182412469,41.393038496,2023-01-02 21:00:00
2023S000029    ,Horta-Guinardó,Horta,Universal,Monday,2023,1,January,2,Afternoon,,Not caused by the pedestrian,Motorcycle,Man,50,Driver,Desconegut,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,430022.11,4587884.53,2.161248436,41.437636789,2023-01-02 20:00:00
2023S000030    ,Nou Barris,la Trinitat Nova,Palamós,Tuesday,2023,1,January,3,Morning,,Not caused by the pedestrian,Car,Woman,6,Passenger,Desconegut,Unknown,Unknown,Minor injury: Refused medical assistance,432027.76,4588953.97,2.185133062,41.447441237,2023-01-03 08:00:00
2023S000031    ,Gràcia,el Camp d'en Grassot i Gràcia Nova,Sardenya,Tuesday,2023,1,January,3,Morning,,Not caused by the pedestrian,Bicicleta,Woman,46,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430552.33,4584512.01,2.167981984,41.407307778,2023-01-03 08:00:00
2023S000033    ,Eixample,la Dreta de l'Eixample,Ausiàs Marc,Tuesday,2023,1,January,3,Morning,,Not caused by the pedestrian,Motorcycle,Man,42,Driver,Desconegut,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431275.02,4582830.46,2.176818603,41.392224718,2023-01-03 13:00:00
2023S000034    ,Sarrià-Sant Gervasi,el Putxet i el Farró,Lucà,Tuesday,2023,1,January,3,Morning,,Crossing outside the pedestrian crossing,Motorcycle,Man,69,Pedestrian,Fora del pas,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428167.38,4584926.71,2.139401483,41.410833113,2023-01-03 13:00:00
